Name,Device Description,Type Description,Manufacturer
Project1,Auxiliary contact unit for distribution board,S2C-H6-11R,ABB
Project2,Auxiliary contact unit for distribution board,S2C-H6R,ABB
Project3,Auxiliary contact unit for distribution board,S2C-H6-11R,ABB
Project4,Auxiliary contact unit for distribution board,S2C-H6R,ABB
Project5,Auxiliary contact unit for distribution board,S2C-H6-11R,ABB
Project6,Auxiliary contact unit for distribution board,S2C-H6-11R,ABB
Project7,Auxiliary contact unit for distribution board,S2C-H6-11R,ABB
Project8,Auxiliary contact unit for distribution board,S2C-H6R,ABB
Project9,Auxiliary contact unit for distribution board,S2C-H6R,ABB
Project10,Auxiliary contact unit for distribution board,S2C-H6R,ABB
Project11,Auxiliary contact unit for distribution board,S2C-H6R,ABB
Project12,Auxiliary contact unit for distribution board,S2C-H6-11R,ABB
Project13,Auxiliary contact unit for distribution board,S2C-H6R,ABB
Project14,Auxiliary contact unit for distribution board,S2C-H6R,ABB
Project15,Auxiliary contact unit for distribution board,S2C-H6-11R,ABB
Project16,Auxiliary contact unit for distribution board,S2C-H6R,ABB
Project17,Binäres Eingabemodul,BIM,ABB
Project10,MicroSCADA X SYS600C - The compact system,SYS600C-V4.10,ABB
Project14,Miniature circuit breaker (MCB),S202M-K1UC,ABB
Project4,MicroSCADA X SYS600C - The compact system,SYS600C-V4.10,ABB
Project18,Miniature circuit breaker (MCB),S201P-C2NA,ABB
Project8,Miniature circuit breaker (MCB),S202M-K2UC,ABB
Project3,Binäres Eingabemodul,BIM,ABB
Project13,Miniature circuit breaker (MCB),S202M-K6UC,ABB
Project15,Binäres Eingabemodul,BIM,ABB
Project10,Miniature circuit breaker (MCB),S202M-K2UC,ABB
Project4,Miniature circuit breaker (MCB),S202M-K2UC,ABB
Project13,Miniature circuit breaker (MCB),S202M-K10UC,ABB
Project12,Miniature circuit breaker (MCB),S202M-K2UC,ABB
Project1,Miniature circuit breaker (MCB),S202M-K2UC,ABB
Project16,"REB500 CU04, Ver. 8.3 Binary In-/Output Optional",BIO01,ABB
Project14,Residual Current Circuit Breaker with Overcurrent Protection,DS201 M B10 A30,ABB
Project9,Residual Current Circuit Breaker with Overcurrent Protection,DS201 M C10 A30,ABB
Project8,Residual Current Circuit Breaker with Overcurrent Protection,DS201 M C10 A30,ABB
Project16,"REB500 CU04, Ver. 8.3 Binary In-/Output Standard",BIO01,ABB
Project11,Residual Current Circuit Breaker with Overcurrent Protection,DS201 M B10 A30,ABB
Project19,Residual Current Circuit Breaker with Overcurrent Protection,DS201 M C10 A30,ABB
Project20,Residual Current Circuit Breaker with Overcurrent Protection,DS201 M C10 A30,ABB
Project13,"REB500 CU04, Ver. 8.3 Binary In-/Output Optional",BIO01,ABB
Project16,Residual Current Circuit Breaker with Overcurrent Protection,DS201 M B10 A30,ABB
Project4,Residual Current Circuit Breaker with Overcurrent Protection,DS201 M B10 A30,ABB
Project2,Residual Current Circuit Breaker with Overcurrent Protection,DS201 M B10 A30,ABB
Project21,Residual Current Circuit Breaker with Overcurrent Protection,DS201 M B10 A30,ABB
Project10,Residual Current Circuit Breaker with Overcurrent Protection,DS201 M C10 A30,ABB
Project14,Socket outlet for distribution board,M1011-T13,ABB
Project17,Miniature circuit breaker (MCB),S202M-K6UC,ABB
Project8,Socket outlet for distribution board,M1011-T13,ABB
Project9,Socket outlet for distribution board,M1011-T13,ABB
Project13,"REB500 CU04, Ver. 8.3 Binary In-/Output Standard",BIO01,ABB
Project11,Socket outlet for distribution board,M1011-T13,ABB
Project18,Socket outlet for distribution board,M1011-T13,ABB
Project2,Socket outlet for distribution board,M1011-T13,ABB
Project13,Residual Current Circuit Breaker with Overcurrent Protection,DS201 M B10 A30,ABB
Project4,Socket outlet for distribution board,M1011-T13,ABB
Project10,Socket outlet for distribution board,M1011-T13,ABB
Project16,Socket outlet for distribution board,M1011-T13,ABB
Project19,Socket outlet for distribution board,M1011-T13,ABB
Project20,Socket outlet for distribution board,M1011-T13,ABB
Project13,Socket outlet for distribution board,M1011-T13,ABB
Project20,Standard all-or-nothing relay,CR-M110DC4,ABB
Project19,Standard all-or-nothing relay,CR-M110DC4,ABB
Project17,Relay socket,CT-ERS.21P,ABB
Project22,Socket outlet for distribution board,M1011-T13,ABB
Project6,Miniature circuit breaker (MCB),S202M-K16UC,ABB
Project7,Miniature circuit breaker (MCB),S202M-K16UC,ABB
Project17,Transformer module,TRM,ABB
Project7,MLBL-05R LED block,MLBL-05R,ABB
Project6,MP1-10G Pushbutton,MP1-10G,ABB
Project7,MP1-10G Pushbutton,MP1-10G,ABB
Project6,MP1-10R Pushbutton,MP1-10R,ABB
Project6,MP1-11R Pushbutton,MP1-11R,ABB
Project7,MP1-10R Pushbutton,MP1-10R,ABB
Project7,MP1-11R Pushbutton,MP1-11R,ABB
Project7,Relay socket,CT-ERS.21P,ABB
Project14,Electrical cabinet luminaire (electrical cabinet),7L.46.0.230.2200,Finder
Project14,Socket,071L.11,Finder
Project2,Electrical cabinet luminaire (electrical cabinet),7L.46.0.230.2200,Finder
Project4,Electrical cabinet luminaire (electrical cabinet),7L.46.0.230.2200,Finder
Project11,Electrical cabinet luminaire (electrical cabinet),7L.46.0.230.2200,Finder
Project8,Electrical cabinet luminaire (electrical cabinet),7L.46.0.230.2200,Finder
Project9,Electrical cabinet luminaire (electrical cabinet),7L.46.0.230.2200,Finder
Project16,"Contact element, 1NC, front mount, screw connection",DX22 ECN 10,DOMO
Project11,Steckdose,071L.11,Finder
Project10,Electrical cabinet luminaire (electrical cabinet),7L.46.0.230.2200,Finder
Project9,Socket,071L.11,Finder
Project18,EDIZIOdue colore Socket 3x Type 13 Weiss,87303.FX.54.61,Feller
Project16,"Contact element, 1NO, front mount, screw connection",DX22 ECN 01,DOMO
Project4,Socket,071L.11,Finder
Project2,Socket,071L.11,Finder
Project21,Electrical cabinet luminaire (electrical cabinet),7L.46.0.230.2200,Finder
Project13,Relay socket,JN-DE IP10,Arteche
Project8,Socket,071L.11,Finder
